,registration number,name,established date,country,number of employs,purpose,phone number,email
16,f66035fb-336f-4051-bbc9-2663cbbcd1d4,Conoco Canada Resources Ltd.,1996-10-12,Canada,44,,417-720-7336,reach@conococanadaresourcesltd.org
17,d6bd8593-1b28-4e7e-b277-5d3ba43aa03e,Bestel S.A. de C.V.,1968-05-10,Mexico,35,,491-173-6869,enquiries@bestelsadecv.org
18,257bfb1c-7bb5-4fd1-9397-a70af95099bb,China Petroleum & Chemical Corp. (Sinopec),1970-12-14,China,32,,955-642-0319,enquiries@chinapetroleumchemicalcorpsinopec.org
19,64c99fac-1f45-4c20-8cfe-3b73ad85d916,Extendicare Inc.,1961-05-19,Canada,5,,435-561-7963,enquiries@extendicareinc.org
20,73efd116-5ee5-401d-b2ee-32ffcc6e973a,Art Advanced Research Technologies Inc.,1994-08-09,Canada,30,,161-439-9750,hr@artadvancedresearchtechnologiesinc.org
21,df7d2fc4-b746-40a3-806c-2c1da58616bb,Northern Offshore ASA,1989-08-09,Norway,33,,599-501-7780,marketing@northernoffshoreasa.org
22,b2db9355-ca32-452a-9e12-8eb5416da93f,VirtualSellers.com Inc,1987-01-03,Canada,15,,977-411-1300,marketing@virtualsellerscominc.org
23,d197dde9-5bf8-4221-9060-ba3b39a62e90,HQI Translec Chile S.A.,1991-11-28,Chile,6,,488-831-8778,sales@hqitranslecchilesa.org
24,e42327dc-c87c-465e-8857-3187cc325fb2,Highwood Resources Ltd.,1996-10-05,Canada,16,,133-081-8958,sales@highwoodresourcesltd.org
25,e860d95b-2adf-4133-aeb6-b5bcbde2de84,Globo Cabo S.A.,1978-07-02,Brazil,34,,127-332-0728,headquarters@globocabosa.org
26,e42327dc-c87c-465e-8857-3187cc325fb2,Highwood Resources Ltd.,1967-10-09,Canada,46,,133-081-8958,contact@highwoodresourcesltd.org
27,f82e07ad-bbe8-4682-ab9a-3c4dd72fd455,Yellow Pages Ltd.,1966-06-30,Netherlands,39,,868-082-0939,reach@yellowpagesltd.org
28,dd536312-18a8-46df-bc19-8af7cd0ce077,Taro Pharmaceutical Industries Ltd.,1964-10-08,Israel,34,,613-331-7272,sales@taropharmaceuticalindustriesltd.org
29,0af95853-e896-4e06-b05d-c6f02e183c6d,Dynea International Oy,1984-07-07,Finland,33,,371-604-6776,sales@dyneainternationaloy.org
30,ba370b7b-c095-4195-afc2-70cc69ba9c36,Embraer-Empresa Brasileira de Aeronautica S.A.,1983-01-06,Brazil,39,,786-764-1831,info@embraerempresabrasileiradeaeronauticasa.org
31,5dd20cf4-fd64-4b3c-b2ef-256306db9b42,ENI S.p.A.,1995-05-04,Italy,14,,227-361-9612,marketing@enispa.org
32,54c86bc6-e1c9-4c48-b1ce-65f48efe5c3a,Enodis plc,1997-01-31,United Kingdom,12,,206-245-1491,contact@enodisplc.org
33,1091ff50-ea4b-4d5a-bfcd-e4c78904a722,Quintalinux Ltd.,1984-12-24,British Virgin Islands,8,,571-104-2731,marketing@quintalinuxltd.org
34,fb3a8ff1-c179-4387-8f0d-a79af649ee2d,Futuremedia plc,1989-12-01,United Kingdom,35,,115-547-8621,contact@futuremediaplc.org
35,2d04b3f7-b71b-4aff-a017-2d93c2260071,Lihir Gold Ltd.,1989-04-15,Papua New Guinea,19,,109-600-2953,sales@lihirgoldltd.org
36,fd895a37-e903-41a2-811f-1cd0be536988,Tioga Technologies Ltd.,1987-01-30,Israel,33,,742-618-6204,headquarters@tiogatechnologiesltd.org
37,9d3b9bbb-0cc4-4be4-8214-04d3db9910eb,Top Image Systems Ltd.,1968-11-22,Israel,35,,202-296-6766,enquiries@topimagesystemsltd.org
38,5b18ea7c-0bee-4a48-87b2-174020f61cd5,Incam AG,1986-11-29,Germany,37,,737-724-2179,reach@incamag.org
39,1752317e-4518-4291-b8c3-b10e393b9836,Amatek Industries Pty Ltd.,1962-07-10,Australia,46,,789-531-9543,info@amatekindustriesptyltd.org
40,43fd9d46-9856-4497-be57-e2dbd0a3db86,Anangel-American Shipholdings Ltd.,1982-12-24,Cayman Islands,18,,683-654-0106,headquarters@anangelamericanshipholdingsltd.org
41,3e0dd497-339b-43c1-afae-b17afc26737b,Lafarge,1985-07-13,France,15,,917-118-1845,sales@lafarge.org
42,f47c727f-7d0d-49bc-b4ba-d3592999a33b,Ebookers.com plc,1982-04-20,United Kingdom,22,,412-748-8945,headquarters@ebookerscomplc.org
43,5e22be6c-4a5e-45d8-af4d-d2e845d2aecb,Orchestream Holdings plc,1993-07-24,United Kingdom,15,,509-383-8933,enquiries@orchestreamholdingsplc.org
44,afbd05ba-b5bc-48ef-ad2e-7483507daacf,CanWest Global Communications Co.,1977-09-02,Canada,37,,554-596-3292,headquarters@canwestglobalcommunicationsco.org
45,3a0adf30-c422-4505-b554-bd33737715b9,Distribucion y Servicio D&S S.A.,1983-09-19,Chile,27,,206-065-7723,headquarters@distribucionyserviciodssa.org
46,72adb7af-b600-4af4-a1fe-45a0395eacad,Telstra Corp Ltd.,1974-08-27,Australia,6,,925-354-1713,info@telstracorpltd.org
47,12d43bac-9437-4cec-82ae-e615706ff9c2,Dectron Internationale Inc.,1961-05-07,Canada,29,,757-721-3878,marketing@dectroninternationaleinc.org
48,2e56a483-7a7a-43bd-9e3a-624efa342058,Potash Corp. of Saskatchewan,1990-01-07,Canada,8,,997-779-6007,sales@potashcorpofsaskatchewan.org
49,ac0a5eb7-6e62-4596-9c6f-f86bf9147447,ID Biomedical Corp.,1960-07-10,Canada,35,,826-263-9861,info@idbiomedicalcorp.org
50,b811f4fd-15b2-4904-b621-1e61b9ca406a,United Utilities plc,1981-07-16,United Kingdom,15,,632-319-7283,marketing@unitedutilitiesplc.org
51,54493819-859e-449c-b5db-94beabdf498e,Brascan Corp.,1978-06-28,Canada,30,,288-828-8403,contact@brascancorp.org
52,154a14b2-4ae8-4695-8e9a-07b6e5070f7d,Schroder Ventures International Investment Trust,1969-12-30,United Kingdom,46,,765-165-8256,marketing@schroderventuresinternationalinvestmenttrust.org
53,6d6f746a-044c-45da-b04c-9b9b47816e43,Crucell N.V.,1967-02-17,Netherlands,6,,796-703-0226,enquiries@crucellnv.org
54,147bd82d-76b5-4081-9f2e-e8d59f83b7a0,Gucci Group N.V.,1964-01-08,Netherlands,33,,728-330-2350,contact@guccigroupnv.org
55,42b53b73-98c3-462a-a8cc-606b2cd4cb71,Serono S.A.,1970-07-31,Switzerland,31,,441-427-8777,contact@seronosa.org
56,3e0a7b97-df37-4261-b5fb-add1b3901412,Normandy Yandal Operations Ltd.,1964-06-23,Australia,28,,644-877-2352,reach@normandyyandaloperationsltd.org
57,03025735-3060-44d6-9609-f8e63b61fa09,Zemex Corp.,1975-12-18,Canada,45,,719-274-0343,reach@zemexcorp.org
58,1401af6a-f2f1-4680-8d8b-b45a1c224213,Viryanet Ltd.,1980-08-20,Israel,15,,916-386-0348,hr@viryanetltd.org
59,186772d2-7e06-44ac-9fa8-2a6224142f2e,HSBC Holdings plc,1989-07-26,United Kingdom,28,,200-029-9284,info@hsbcholdingsplc.org
60,7c03f018-e592-42f1-b7b9-54a212418c69,Stockscape.com Technology Inc.,1973-10-25,Canada,49,,220-105-8416,info@stockscapecomtechnologyinc.org
61,bd07b0af-aca4-4985-8159-945a8e24cee6,Crystallex International Corp.,1989-01-28,Canada,44,,671-034-3321,info@crystallexinternationalcorp.org
62,fc302471-5865-4d6e-b53e-34bacba70c9c,Skyepharma plc,1996-09-21,United Kingdom,27,,593-425-3082,marketing@skyepharmaplc.org
63,ce66d94a-7d9c-47cc-87e2-dd53066acf5e,Compania Internacional de Telecomunicaciones S.A.,1994-09-29,Argentina,44,,874-478-8171,hr@companiainternacionaldetelecomunicacionessa.org
64,5608b331-d18f-4ec2-87dd-1cdb798e298b,Anthony Clark International Insurance Brokers Inc.,1990-01-20,Canada,25,,912-330-6478,marketing@anthonyclarkinternationalinsurancebrokersinc.org
65,4d7f3e78-c8e1-4e70-a5c2-bf252547dbe3,Banco Espirito Santo e Comercial de Lisboa S.A.,1975-11-30,Portugal,5,,319-854-7877,reach@bancoespiritosantoecomercialdelisboasa.org
66,adb4dd59-c01d-49a4-9278-05e1880fa0a2,Tembec Industries Inc.,1970-11-17,Canada,32,,157-183-3702,contact@tembecindustriesinc.org
67,c96582d5-92ec-4f85-b9f5-ce909a394ae6,Gener S.A.,1970-07-31,Chile,46,,925-573-7026,sales@genersa.org
68,653408f2-b2cf-435c-83c7-5e3af581172a,Lions Gate Entertainment Corp.,1994-01-13,Canada,7,,498-084-4395,marketing@lionsgateentertainmentcorp.org
69,907092d0-789a-4730-a23d-e1135f1a6db2,Enel S.p.A.,1974-02-21,Italy,19,,729-268-8712,headquarters@enelspa.org
70,9bf728ed-a28e-43ad-af38-7bf05483fdd6,IFCO Systems N.V.,1978-09-05,Netherlands,16,,200-530-5730,enquiries@ifcosystemsnv.org
71,ea876009-5972-4235-80d2-ae3800870880,Playstar Corp.,1985-11-24,Antigua,32,,452-816-9399,headquarters@playstarcorp.org
72,e2904902-42da-4e65-960d-551b9628a620,Westpac Banking Corp.,1978-08-16,Australia,24,,866-456-7245,marketing@westpacbankingcorp.org
73,68d4af11-c381-406b-b470-d35c9c83b81c,Research in Motion Ltd.,1979-10-16,Canada,45,,511-379-5188,reach@researchinmotionltd.org
74,edd832db-4c02-4dec-a41f-392eb91e3049,MEPC plc,1962-04-09,United Kingdom,32,,332-191-2830,info@mepcplc.org
75,08f44e58-6c51-409b-9024-efe69515bfc3,Marconi plc,1996-03-02,United Kingdom,28,,187-194-4427,enquiries@marconiplc.org
76,7afcf249-1d1d-468a-9eba-86f0baf22823,Callahan Nordheim-Westfalen GmbH,1970-12-11,Germany,8,,545-005-2052,hr@callahannordheimwestfalengmbh.org
77,4fe26166-bb77-4a5e-95a6-125021f6a790,Paradigm Geophysical Ltd.,1960-11-19,Israel,35,,980-260-9463,marketing@paradigmgeophysicalltd.org
78,5f17e788-2a37-4ec1-b377-467b1be85f77,Orbotech Ltd.,1996-09-11,Israel,45,,158-106-1254,info@orbotechltd.org
79,481d4872-970a-42db-988e-83b4f5232472,Arcadis N.V.,1964-10-12,Netherlands,6,,948-812-7365,marketing@arcadisnv.org
80,06d433b9-c4bd-488e-9113-ed610d45c510,Scottish Power plc,1996-12-06,United Kingdom,18,,922-504-8263,sales@scottishpowerplc.org
81,d20a2aca-0a4d-476a-be30-18d758d6b642,Texon International plc,1977-03-10,United Kingdom,13,,591-742-5305,marketing@texoninternationalplc.org
82,3494566f-3dc0-48ba-911e-becc0e3c30fd,Huaneng Power International Inc.,1988-07-04,China,18,,810-091-7154,info@huanengpowerinternationalinc.org
83,f595c495-bd3e-46eb-a608-2402f2057a9c,Reed International plc,1990-04-26,United Kingdom,49,,141-311-0150,marketing@reedinternationalplc.org
84,d197dde9-5bf8-4221-9060-ba3b39a62e90,HQI Translec Chile S.A.,1982-12-09,Chile,27,,488-831-8778,hr@hqitranslecchilesa.org
85,7b59718f-3c2d-41ab-b77b-d48bcb5067bf,Klinair Environmental Technologies Ltd.,1975-04-28,British Virgin Islands,47,,104-862-0125,marketing@klinairenvironmentaltechnologiesltd.org
86,89592c02-0bf0-4d2b-bebd-ad9dd026a5bd,"Eurotel Bratislava, A.S.",1976-05-09,Slovak Republic,40,,512-764-3578,headquarters@eurotelbratislavaas.org
87,dbca5e6e-6381-4a92-a3c8-d54e67222c33,Highway Holdings Ltd.,1981-01-15,British Virgin Islands,11,,191-149-2656,contact@highwayholdingsltd.org
88,fb764796-9411-4e5f-b685-ab8872e60865,Sea Containers Ltd.,1986-10-06,Bermuda,42,,678-794-9551,marketing@seacontainersltd.org
89,2b769622-ac9b-4701-941f-fd3905973b7b,Credit Suisse Group,1981-04-02,Switzerland,44,,489-699-1731,headquarters@creditsuissegroup.org
90,bac15afa-cfde-45dd-a158-10a431458a5d,Tele Sudeste Celular Participacoes S.A.,1971-05-29,Brazil,33,,922-630-8079,marketing@telesudestecelularparticipacoessa.org
91,26f3883b-f371-42dc-8164-412f5301f951,Glamis Gold Ltd.,1988-11-27,Canada,36,,144-519-3729,marketing@glamisgoldltd.org
92,6d4d3d7e-3250-4c06-9149-d155bd059560,Origin Energy Ltd.,1979-02-23,Australia,43,,204-139-6860,headquarters@originenergyltd.org
93,daa2d999-0d15-411f-a0a0-fb99a550a0b6,ASE Test Ltd.,1982-07-31,Singapore,5,,584-207-2240,enquiries@asetestltd.org
94,197de0f1-0684-4c3d-ac43-7ec868a85aa4,Jilin Chemical Industrial Co. Ltd.,1966-07-29,China,23,,451-611-5638,contact@jilinchemicalindustrialcoltd.org
95,401a72e2-b648-4708-92b4-c7275f35ae23,Multicanal S.A.,1960-03-15,Argentina,30,,787-032-1585,headquarters@multicanalsa.org
96,5f17e788-2a37-4ec1-b377-467b1be85f77,Orbotech Ltd.,1988-07-13,Israel,38,,158-106-1254,headquarters@orbotechltd.org
97,1c2bd2e5-5ee5-4c42-a5f4-8fbf8fba4a45,E-digital Corp.,1971-08-06,Canada,11,,544-810-2633,contact@edigitalcorp.org
98,506e7e87-5a20-4615-b398-303ff6177e0f,EPCOS AG,1994-02-05,Germany,11,,173-209-1725,contact@epcosag.org
99,74639ed6-b93d-407c-9d23-e2d75789bfb4,Compagnie Generale de Geophysique,1982-09-30,France,13,,897-329-3256,sales@compagniegeneraledegeophysique.org
100,0b7e7d5e-b0f5-4776-9d05-029ff6b57efa,Atlas Pacific Ltd.,1994-09-19,Australia,37,,709-637-2665,enquiries@atlaspacificltd.org
101,a3e3503d-82a7-43ee-be5e-0ee5ff9485fe,Bunge Ltd.,1979-09-02,Bermuda,50,,476-591-9812,reach@bungeltd.org
102,19cacb5f-faba-4938-83b0-2a119deb79cd,"Gruma, S.A. de C.V.",1973-01-03,Mexico,33,,937-878-5838,contact@grumasadecv.org
103,5079d983-c212-4b51-833a-11386213db4d,Nexen Inc.,1985-10-28,Canada,13,,766-398-0217,contact@nexeninc.org
104,36dde932-de5f-4642-9329-35ee6c86d84f,Great Lakes Power Inc.,1973-12-22,Canada,50,,437-225-8587,headquarters@greatlakespowerinc.org
105,4e08a4b0-fc83-47b7-9a34-dbc8947f44fe,Metro International S.A.,1983-04-02,Luxembourg,44,,274-231-3400,marketing@metrointernationalsa.org
106,8e37a7a9-a98b-44ba-8acc-9d193a62a9b3,Marnetics Broadband Technologies Ltd.,1973-04-16,Israel,19,,459-075-8570,headquarters@marneticsbroadbandtechnologiesltd.org
107,ebe629f9-0d67-43a7-b76b-0869de2bdbad,Delano Technology Corp.,1984-02-17,Canada,44,,679-066-8059,headquarters@delanotechnologycorp.org
108,9968915a-b19c-49f9-9e8c-0ca5ad8b3f75,Falconbridge Ltd.,1972-08-30,Canada,27,,320-253-6759,reach@falconbridgeltd.org
109,24ec7150-8bcb-4013-9f41-35fe0ad284aa,Smedvig ASA,1991-08-03,Norway,18,,330-555-2359,marketing@smedvigasa.org
110,eddfbe0d-6911-4745-b7bc-87963e2a578f,Rank Group plc,1967-11-15,United Kingdom,25,,299-742-8057,contact@rankgroupplc.org
111,e9dd72a5-b7a8-4428-acbf-f2416746668f,P.T. Pasifik Satelit Nusantara Tbk,1992-11-24,Indonesia,31,,607-179-0910,reach@ptpasifiksatelitnusantaratbk.org
112,2ece7cb3-2293-41b4-8892-6d34f343bb5e,Ito-Yokado Co. Ltd.,1988-12-10,Japan,14,,487-879-1044,hr@itoyokadocoltd.org
113,05f2c5c8-4abc-4c1d-b12f-37be0afb4e1a,Kinross Gold Corp.,1964-04-09,Canada,36,,213-119-9374,hr@kinrossgoldcorp.org
114,2c5565cb-90dc-4454-8bf0-8ce6126dd2ff,Consolidated Envirowaste Industries Inc.,1997-01-05,Canada,28,,167-436-6690,hr@consolidatedenvirowasteindustriesinc.org
115,8bcb9913-86ac-4d87-b2b3-5984bccaa4d7,Nova Chemicals Corp.,1980-07-11,Canada,17,,878-539-1467,contact@novachemicalscorp.org
116,dd36f979-92ef-4c63-900c-701ad4b07c21,Northern Rock plc,1988-02-04,United Kingdom,8,,152-170-2701,enquiries@northernrockplc.org
117,26503086-a07e-4074-be01-b696d927a3d1,SK Telecom Corp.,1984-01-03,Korea,10,,166-684-5409,headquarters@sktelecomcorp.org
118,822205ca-54c3-4eff-b154-cf0ae728c2e4,Telus Corp.,1975-08-26,Canada,34,,639-135-0812,headquarters@teluscorp.org
119,db2c79a0-d8fd-4548-b87a-b065efd5b39a,Eidos plc,1971-01-01,United Kingdom,30,,548-811-4190,marketing@eidosplc.org
120,c457685c-3fbd-4bdb-8532-b8cc93d2ae92,Pacific Rim Mining Corp.,1968-07-03,Canada,47,,586-678-4996,hr@pacificrimminingcorp.org
121,e4144dd2-ba32-4111-bd49-c204a426d7f2,"Grupo Casa Saba, S.A. de C.V.",1976-11-17,Mexico,37,,868-505-3531,marketing@grupocasasabasadecv.org
122,b8cf10bb-7d2a-4144-af9f-5c784a4589cb,Bradner Ventures Ltd.,1992-09-09,Canada,40,,539-308-4898,hr@bradnerventuresltd.org
123,91630c66-5106-4fba-ba76-81ef617930f5,Indo-Pacific Energy Ltd.,1964-12-30,New Zealand,17,,920-031-4068,headquarters@indopacificenergyltd.org
124,df64f8d3-1c19-4733-83c6-7f6459574f5e,"Savia, S.A. de C.V.",1984-01-05,Mexico,44,,852-848-8686,enquiries@saviasadecv.org
125,d1dbcb24-7bf3-4c3e-a906-3032294efe66,Gold Reserve Inc.,1978-03-21,Canada,33,,284-682-5803,enquiries@goldreserveinc.org
126,1b4c4745-a06f-4665-bbbc-70ffe62cd0ad,UPM-Kymmene OYJ,1976-09-08,Finland,5,,289-816-0866,headquarters@upmkymmeneoyj.org
127,1c5d2e3c-96d1-4b02-ae5e-7fb79178f177,Goran Capital Inc.,1996-03-01,Canada,20,,307-014-8655,hr@gorancapitalinc.org
128,5c4d9961-94ba-4efb-8ffb-b49f237c5cb8,Dundee Bancorp Inc.,1994-04-21,Canada,32,,629-622-5256,contact@dundeebancorpinc.org
129,316863c9-5912-49fe-8673-cc065ee6d17b,SmarTire Systems Inc.,1968-09-22,Canada,34,,850-443-5154,reach@smartiresystemsinc.org
130,651e803b-15a1-4401-b4a8-db86d10027f6,Wescast Industries Inc.,1969-08-21,Canada,7,,549-166-4800,info@wescastindustriesinc.org
131,61283941-13b6-422f-9469-742a89db7de4,"Telefonica Holding of Argentina, Inc.",1996-11-19,Argentina,44,,780-774-3879,reach@telefonicaholdingofargentinainc.org
132,b6ed1579-6240-496e-bf5d-799686ed03e6,Pcom AG,1993-10-25,Germany,48,,333-435-7309,contact@pcomag.org
133,ea3b7167-4b09-40f7-a1e6-861b2151bab7,Madison Enterprises Corp.,1965-05-28,Canada,45,,352-805-4441,headquarters@madisonenterprisescorp.org
134,4f79b126-cda9-48fe-972e-d64c35a72146,Cadbury Schweppes plc,1963-10-15,United Kingdom,32,,835-668-2608,contact@cadburyschweppesplc.org
135,ea876009-5972-4235-80d2-ae3800870880,Playstar Corp.,1993-05-07,Antigua,32,,452-816-9399,hr@playstarcorp.org
136,276e19c6-6ca8-4fad-8836-c43570bf4544,E*Comnetrix Inc.,1967-09-04,Canada,5,,403-351-5671,sales@ecomnetrixinc.org
137,d48294c3-78cc-46ed-b037-aa690659c709,Enerplus Resources Fund,1972-08-06,Canada,41,,980-185-6878,info@enerplusresourcesfund.org
138,97b73256-5bc3-4273-a079-f8e04ed357fe,Terra Networks S.A.,1966-12-18,Spain,49,,757-785-2729,contact@terranetworkssa.org
139,490e2121-8e6f-45c0-bff1-738d1b95df1e,Tesma International Inc.,1975-09-03,Canada,25,,272-349-8381,contact@tesmainternationalinc.org
140,da90a34a-7720-4bec-8d7b-c961fe21d608,"Azteca Holdings, S.A. de C.V.",1965-08-14,Mexico,28,,199-006-5096,headquarters@aztecaholdingssadecv.org
141,651e803b-15a1-4401-b4a8-db86d10027f6,Wescast Industries Inc.,1979-09-29,Canada,22,,549-166-4800,headquarters@wescastindustriesinc.org
142,f95f4985-5498-4a68-bf17-34698b5febf6,Universal Domains Inc.,1971-05-25,Canada,16,,944-347-2256,headquarters@universaldomainsinc.org
143,0b7e7d5e-b0f5-4776-9d05-029ff6b57efa,Atlas Pacific Ltd.,1972-08-22,Australia,19,,709-637-2665,contact@atlaspacificltd.org
144,edab3f8b-0a49-4634-ad05-adfcdc024421,Galen Holdings plc,1971-09-25,United Kingdom,44,,138-325-7647,enquiries@galenholdingsplc.org
145,ccd9c49f-1f5d-4223-8e5a-adcd6d71314a,Corel Corp.,1979-05-11,Canada,30,,779-002-3524,hr@corelcorp.org
146,862fa99f-eee5-40c8-ae2b-5c1c1e7a3868,Vitro S.A.,1981-04-13,Mexico,39,,790-818-6790,marketing@vitrosa.org
147,ea1eab69-a229-40b2-ae92-0b3f6ec81080,Canadian Imperial Bank of Commerce,1986-07-30,Canada,35,,304-798-8934,headquarters@canadianimperialbankofcommerce.org
148,c572804d-0027-4151-b4ff-5c856032d905,Cenes Pharmaceuticals plc,1996-02-05,United Kingdom,16,,141-174-3726,headquarters@cenespharmaceuticalsplc.org
149,7a02e50b-affa-4e54-88a6-1af3920e6943,Clearly Canadian Beverage Corp.,1989-12-09,Canada,46,,901-178-1005,marketing@clearlycanadianbeveragecorp.org
150,07052440-45ff-40b1-8c57-93b10edbeda3,"Kingsway Financial Services, Inc.",1986-05-13,Canada,12,,201-367-0036,sales@kingswayfinancialservicesinc.org
151,1d76f97e-2753-4631-8739-6e2cc5a8f4d9,Tranz Rail Holdings Ltd.,1976-12-11,New Zealand,24,,751-286-8301,hr@tranzrailholdingsltd.org
152,cd5b072d-f86d-4d3e-a2fb-ad689e01842f,Thinkpath.com Inc.,1988-09-19,Canada,47,,730-197-0351,info@thinkpathcominc.org
153,c8606cf7-7aa8-41e1-aaac-0219e26d806b,Bell Canada,1962-10-24,Canada,23,,699-162-6340,sales@bellcanada.org
154,77af3e8a-11cb-4a7d-8895-eac3fc508df3,Alcan Inc.,1995-12-05,Canada,37,,508-381-2149,hr@alcaninc.org
155,f47c727f-7d0d-49bc-b4ba-d3592999a33b,Ebookers.com plc,1965-04-26,United Kingdom,32,,412-748-8945,sales@ebookerscomplc.org
156,07052440-45ff-40b1-8c57-93b10edbeda3,"Kingsway Financial Services, Inc.",1989-04-14,Canada,19,,201-367-0036,info@kingswayfinancialservicesinc.org
157,37315b73-db0c-4ca9-bc53-b5e02927931f,Formula Systems (1985) Ltd.,1962-12-12,Israel,26,,400-791-9950,reach@formulasystems1985ltd.org
158,8ba3ef2e-b35d-492b-bb7f-2a284df45142,Fresenius Medical Care AG,1965-10-04,Germany,20,,242-509-4404,contact@freseniusmedicalcareag.org
159,bd3ce300-5f8f-4373-8f63-66e3f16cddfa,Titan Trading Analytics Inc.,1990-09-07,Canada,37,,400-644-0918,contact@titantradinganalyticsinc.org
160,bcca8f68-4e9e-4857-9277-d2438eb49c11,Coniagas Resources Ltd,1969-12-18,Canada,21,,350-192-2520,sales@coniagasresourcesltd.org
161,1fd42fec-1e09-4ca0-b5e1-cfe0e1c183e0,Royal Group Technologies Ltd.,1986-05-12,Canada,49,,513-477-5864,contact@royalgrouptechnologiesltd.org
162,d246de4b-28cb-4db7-855c-a68d1dcb06a1,Sapiens International Corp. N.V.,1960-05-21,Neth. Antilles,19,,721-576-7192,info@sapiensinternationalcorpnv.org
163,d7f3aab3-b702-4824-8f33-2a4bbb3f29b6,"Angiotech Pharmaceuticals, Inc.",1991-05-10,Canada,42,,777-118-3395,contact@angiotechpharmaceuticalsinc.org
164,09a01955-0b41-4f6a-a0c9-59acf593761a,Inco Ltd.,1974-08-03,Canada,24,,601-721-4194,contact@incoltd.org
165,9c5a27b5-c842-48b6-8411-763d245ae167,Abitibi Consolidated Inc.,1996-10-30,Canada,37,,425-269-2877,headquarters@abitibiconsolidatedinc.org
166,81f1cb13-28f5-411a-b538-f7edd52d4c11,Barbeques Galore Ltd.,1974-07-09,Australia,11,,990-055-5797,enquiries@barbequesgaloreltd.org
167,e3da2b87-ee33-4eef-8268-c38537a4385d,Buffalo Diamonds Ltd.,1960-01-25,Canada,13,,114-155-1804,contact@buffalodiamondsltd.org
168,ff12e07b-bd19-4ab4-b882-7b6be7f70d43,Scitex Corp. Ltd.,1963-09-24,Israel,12,,380-448-0950,sales@scitexcorpltd.org
169,d177187e-f5f8-4075-802d-4eba2c3d74d1,Creo Products Inc.,1960-06-30,Canada,43,,438-022-6732,headquarters@creoproductsinc.org
170,9e44dfa4-494f-4a4e-aa22-b2e12c0075e9,Stagecoach Holdings plc,1982-10-08,United Kingdom,12,,912-454-2794,contact@stagecoachholdingsplc.org
171,bbaee357-add3-47cd-afc5-622e60816c63,STET Hellas Telecommunications S.A.,1978-09-21,Greece,26,,617-708-1633,headquarters@stethellastelecommunicationssa.org
172,1eb364ff-3a9f-4ce5-a812-4a547e4aed13,Cream Minerals Ltd.,1963-06-09,Canada,38,,260-760-1454,enquiries@creammineralsltd.org
173,4a1ee6d9-dd22-458c-bb1b-7c65bdd07ff3,Industrial Development Bank of Israel Ltd.,1960-12-02,Israel,5,,933-819-8475,marketing@industrialdevelopmentbankofisraelltd.org
