registeration number,name,establied date,country,number of employes,purpose,phone number,email
38b9b8eb-5ceb-44d8-a156-bebdfc8b3435,Fairfax Financial Holdings Ltd.,5/18/1960,Canada,37,,410-748-5239,enquiries@fairfaxfinancialholdingsltd.org
26d7431e-f72f-4428-898c-19e222d9121b,Vancan Capital Corp.,7/31/1967,Canada,49,,838-269-7328,marketing@vancancapitalcorp.org
4a05793c-5f46-4f85-b052-8d2e728f0ede,Crow Technologies 1977 Ltd.,12/12/1995,Israel,15,,445-251-3506,enquiries@crowtechnologies1977ltd.org
69a2707b-f0e1-406b-9045-da4f1cd8544f,I.I.S. Intelligent Information Systems Ltd.,3/29/1995,Israel,20,,984-143-8578,enquiries@iisintelligentinformationsystemsltd.org
4b6b6c6b-9e6b-4ad0-9913-52eb1cb4f3b8,Diversinet Inc.,3/30/1962,Canada,35,,405-852-2128,info@diversinetinc.org
16f2af12-e999-4fe4-9843-7ed7d13a03b9,Glengarry Holdings Ltd.,10/9/1971,Bermuda,26,,152-185-2133,enquiries@glengarryholdingsltd.org
491d9741-58b3-4092-9715-6181693d1d31,Cordiant Communications Group plc,8/31/1994,United Kingdom,31,,628-535-7352,sales@cordiantcommunicationsgroupplc.org
a155941a-62ac-4fd1-817c-6e3225a08329,Audiocodes Ltd.,4/15/1978,Israel,9,,487-050-1202,headquarters@audiocodesltd.org
f3f9d3e3-1e36-4ca4-a022-97b8e8991985,Pacifica Papers Inc.,5/20/1971,Canada,15,,753-027-0319,hr@pacificapapersinc.org
f2170685-c063-4d4c-9139-f81a8db22778,China Unicom Ltd.,12/17/1976,Hong Kong,24,,982-784-7667,enquiries@chinaunicomltd.org
5fcfbad2-7b44-4d2e-bd42-a122900d3bc6,"Belmont Resources, Inc.",8/17/1968,Canada,19,,548-733-4605,hr@belmontresourcesinc.org
8d82694c-6ead-478a-974c-5972342dbaec,Trizec Hahn Corp.,2/6/1989,Canada,35,,708-881-7010,info@trizechahncorp.org
d754c7ad-323c-4897-bb4a-e402cb8287c7,Sportech plc,6/14/1975,United Kingdom,31,,507-663-8855,hr@sportechplc.org
0fb63b7c-bc76-4652-9aba-0824abc962a7,Brasil Telecom Participacoes S.A.,4/17/1983,Brazil,6,,918-387-7739,marketing@brasiltelecomparticipacoessa.org
1c2e1d51-15f0-4a9f-a0b3-4d8d9d4fe7c3,Innogy Holdings plc,3/17/1992,United Kingdom,38,,679-711-5741,reach@innogyholdingsplc.org
42c9295d-b5d0-4f01-a1c7-66547dc1abd1,Alstom,1/8/1982,France,32,,740-295-9825,reach@alstom.org
528ce8cd-dce2-41e8-834c-39a2dae1c1c5,Thomson Corp,5/19/1962,Canada,11,,486-756-6022,info@thomsoncorp.org
fee7ac0f-a3b5-4e13-be98-42b76b392cf1,Eletson Holdings Inc.,9/26/1987,Liberia,6,,807-884-2998,sales@eletsonholdingsinc.org
fe190082-4e70-447e-b1dc-ac20c2ee5ab3,Canadian Imperial Bank of Commerce,5/14/1988,Canada,44,,820-696-2173,contact@canadianimperialbankofcommerce.org
897f7aaf-0a60-489e-9359-2092ea46bb78,Dynamic Digital Depth Inc.,4/29/1966,Canada,40,,146-846-3832,contact@dynamicdigitaldepthinc.org
38e25bbd-d563-4718-bcfd-504c846522a6,Canalaska Ventures Ltd.,9/18/1987,Canada,43,,131-455-3645,contact@canalaskaventuresltd.org
47e1947c-0142-4d23-bb62-3eb4f69145f6,LJ International Ltd.,7/10/1966,British Virgin Islands,16,,480-502-7258,marketing@ljinternationalltd.org
4a05793c-5f46-4f85-b052-8d2e728f0ede,Crow Technologies 1977 Ltd.,12/19/1995,Israel,31,,445-251-3506,enquiries@crowtechnologies1977ltd.org
2e17b743-938a-4241-9514-a6594444c250,AstraZeneca plc,3/17/1963,United Kingdom,28,,898-643-9534,reach@astrazenecaplc.org
